Price,Address,Listing URL,Short Address,Zip,Beds,Baths,Raw Property Details,Latitude,Longitude
532.0,"4713 N Western Ave, Chicago, IL 60625",https://zillow.com//apartments/chicago-il/canvas-at-leland-plaza/9zBq/,4713 N  Western Ave # 302,60625,0.0,1.0,Studio ,41.96713,-87.688545
600.0,"6340 S Eberhart Ave #1, Chicago, IL 60637",https://www.zillow.com/homedetails/6340-S-Eberhart-Ave-1-Chicago-IL-60637/444116444_zpid/,6340 S Eberhart Ave #1,60637,3.0,1.0,3 bds | 1 ba | 1000 sqft,41.779083,-87.613525
639.0,"Ferdinand, 5412 W Ferdinand St, Chicago, IL 60644",https://www.zillow.com/apartments/chicago-il/ferdinand/CjrV6L/,5412 W Ferdinand St #573B2222C,60644,0.0,1.0,Studio | 1 ba | 400 sqft,41.889187,-87.761024
650.0,"6115 S Drexel Ave #1, Chicago, IL 60637",https://www.zillow.com/homedetails/6115-S-Drexel-Ave-1-Chicago-IL-60637/441850790_zpid/,6115 S Drexel Ave #1,60637,1.0,1.0,1 bds | 1 ba ,41.783596,-87.60392
650.0,"158 N Central Ave, Chicago, IL 60644",https://www.zillow.com/homedetails/158-N-Central-Ave-Chicago-IL-60644/2087806893_zpid/,158 N Central Ave,60644,0.0,1.0,Studio | 1 ba ,41.883904,-87.765465
662.0,"4040 N Sheridan Rd, Chicago, IL 60613",https://zillow.com//apartments/chicago-il/ruth-shriman-house/5Xf9pv/,4040 N  Sheridan Rd # 0B-1Ba,60613,0.0,1.0,Studio ,41.955853,-87.65495
695.0,"10 S Mason Ave, 10 S Mason Ave, Chicago, IL 60644",https://www.zillow.com/apartments/chicago-il/10-s-mason-ave/BZ4n/,10 S Mason Ave #C253AFE41,60644,0.0,1.0,Studio | 1 ba | 300 sqft,41.879616,-87.77339
699.0,"5540 S Hyde Park Blvd, Chicago, IL 60637",https://zillow.com//apartments/chicago-il/5540-hyde-park-by-3l-living/CSkv/,5540 S  Hyde Park Blvd # 233,60637,0.0,1.0,Studio ,41.794537,-87.584114
699.0,"5748 S Blackstone Ave, Chicago, IL 60637",https://zillow.com//apartments/chicago-il/5748-blackstone-by-3l-living/ChWJ8w/,5748 S  Blackstone Ave # 403B,60637,0.0,1.0,Studio ,41.7901,-87.59054
700.0,"6115 S Drexel Ave, Chicago, IL 60637",https://zillow.com//b/6115-s-drexel-ave-chicago-il-9S3yrJ/,6115 S  Drexel Ave Unit 7,60637,1.0,1.0,1 bds ,41.783604,-87.60393
700.0,"Jade Apartments - Commercial 11, 11 N Keeler Ave, Chicago, IL 60624",https://www.zillow.com/homedetails/11-N-Keeler-Ave-Chicago-IL-60624/2108674254_zpid/,11 N Keeler Ave,60624,0.0,1.0,Studio | 1 ba ,41.881927,-87.730576
713.0,"5 4 4 Oak, 544 W Oak St, Chicago, IL 60610",https://www.zillow.com/apartments/chicago-il/5-4-4-oak/CjqsLN/,544 W Oak St #A92A9D733,60610,2.0,1.0,2 bds | 1 ba | 1083 sqft,41.90086,-87.64282
720.0,"7102 S Luella Ave, Chicago, IL 60649",https://zillow.com//apartments/chicago-il/7102-s-luella/5XjCwQ/,7102 S  Luella Ave  Apt 209,60649,0.0,1.0,Studio ,41.765995,-87.5705
725.0,"87th & May St, 8716-18 S May St #16814717, Chicago, IL 60620",https://www.zillow.com/b/87th-and-may-st-chicago-il-CBf8Y4/,8716-18 S May St #16814717,60620,2.0,1.0,2 bds | 1 ba | 725 sqft,41.725906,-87.651855
725.0,"8301 S Sangamon St, Chicago, IL 60620",https://zillow.com//b/83rd-and-sangamon-chicago-il-5XfS5J/,8301 S  Sangamon St # 16067790,60620,1.0,1.0,1 bds ,41.743153,-87.64718
725.0,"6238-44 S Western Ave, Chicago, IL 60636",https://zillow.com//apartments/chicago-il/6238-44-s-western-ave/9h8G9r/,6238-44 S  Western Ave # 305S,60636,0.0,1.0,Studio ,41.779854,-87.68405
