DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.85182, -87.745336)"
E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853839, -87.714842)"
W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.778943, -87.644244)"
N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.984246, -87.838028)"
E,Racine (O'Hare-bound),Racine,Racine (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.87592, -87.659458)"
N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943623, -87.670907)"
W,18th (54th/Cermak-bound),18th,18th (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.857908, -87.669147)"
S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",1,0,1,0,0,0,0,0,0,0,"(41.885737, -87.630886)"
S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.970634, -87.760892)"
S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.932732, -87.653131)"
N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.961756, -87.675047)"
E,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.875474, -87.649707)"
S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.831677, -87.625826)"
S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.05416, -87.68356)"
S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",1,0,0,0,1,0,0,0,0,0,"(41.878723, -87.63374)"
N,Southport (Kimball-bound),Southport,Southport (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943744, -87.663619)"
S,Loyola (95th-bound),Loyola,Loyola (Red Line),1,1,0,0,0,0,0,0,0,0,"(42.001073, -87.661061)"
N,47th (Howard-bound),47th,47th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.810318, -87.63094)"
N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.983504, -87.65884)"
W,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,Harlem (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.87349, -87.806961)"
