Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Chamberlain University-Illinois,"1221 N. Swift Road, Addison, Illinois 60101",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Large,No,28897,12214,50%,10%,Fall 2017,"$25,875 ",-,454227,638500
CALC Institute of Technology,"200A North Center Dr, Alton, Illinois 62002",calc.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Small,No,63,63,50%,NA,2020-21,NA,Medical/Clinical Assistant,446084,3914300
Aurora University,"347 S Gladstone Ave, Aurora, Illinois 60506-4892",https://aurora.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,Suburb: Large,Yes,5935,4098,58%,NA,Fall 2017,"$19,220 ",-,143118,163400
Rasmussen University-Aurora,"2363 Sequoia Drive, Suite 131, Aurora, Illinois 60506-6219",https://www.rasmussen.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,,,NA,NA,Fall 2020,NA,-,44867301,869403
Southwestern Illinois College,"2500 Carlyle Ave, Belleville, Illinois 62221-5899",https://www.swic.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,7955,7955,37%,16%,Fall 2020,"$7,295 ",-,143215,163600
Pivot Point Academy,"144 East Lake Street, Suite C, Bloomingdale, Illinois 60108-0000",www.pivotpoint.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,113,113,81%,NA,2020-21,"$9,806 ","Cosmetology/Cosmetologist, General",373216,1083600
Hairmasters Institute of Cosmetology,"506 S McClun St, Bloomington, Illinois 61701",www.hair-masters.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,77,77,83%,NA,2020-21,"$7,880 ","Cosmetology/Cosmetologist, General",367051,
Illinois Wesleyan University,"1312 N Park St, Bloomington, Illinois 61702-2900",www.iwu.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree,City: Small,Yes,1576,1576,83%,1%,Fall 2017,"$31,310 ",-,145646,169600
Olivet Nazarene University,"One University Avenue, Bourbonnais, Illinois 60914-2271",https://www.olivet.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,Suburb: Small,Yes,3275,2569,60%,NA,Fall 2017,"$22,707 ",-,147828,174100
Phipps Academy of Barbering - Bradley,"266 North Kinzie Avenue, Bradley, Illinois 60915-1744", ,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Small,No,,,NA,NA,2020-21,NA,Barbering/Barber,48839601,4254001
Tricoci University of Beauty Culture-Bridgeview,"7350 W 87th St, Bridgeview, Illinois 60455",www.tricociuniversity.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,438,438,NA,NA,2020-21,"$17,016 ",Aesthetician/Esthetician and Skin Care Specialist,455895,4147200
Networks Barber College,"508 Burnham Ave, Calumet City, Illinois 60409",www.networksbarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,50,50,67%,NA,2020-21,"$17,567 ",Barbering/Barber,483258,4224400
Trenz Beauty Academy,"695 Wentworth Avenue, Calumet City, Illinois 60409",www.trenzbeautyacademy.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,73,73,52%,NA,2020-21,NA,Nail Technician/Specialist and Manicurist,482167,4224500
Graham Hospital School of Nursing,"210 W Walnut St, Canton, Illinois 61520-2497",grahamschoolofnursing.org/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Town: Distant,No,36,36,50%,NA,Fall 2020,"$12,520 ",-,145354,893800
Spoon River College,"23235 North County 22, Canton, Illinois 61520-8622",www.src.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,1225,1225,43%,19%,Fall 2020,"$4,520 ",-,148991,164300
Southern Illinois University-Carbondale,"Lincoln Drive, Carbondale, Illinois 62901-4512",https://siu.edu/,"4-year, Public",One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Town: Distant,Yes,11359,8195,56%,NA,Fall 2017,"$16,131 ",-,149222,175800
Blackburn College,"700 College Ave, Carlinville, Illinois 62626",www.blackburn.edu/,"4-year, Private not-for-profit",Two but less than 4 years certificate|Bachelor's degree,Town: Distant,Yes,389,389,52%,NA,Fall 2017,"$21,349 ",-,143288,163900
John A Logan College,"700 Logan College Drive, Carterville, Illinois 62918-2500",https://www.jalc.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Remote,No,3120,3120,41%,17%,Fall 2020,"$6,079 ",-,146205,807600
Kaskaskia College,"27210 College Rd, Centralia, Illinois 62801",https://www.kaskaskia.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,3447,3447,49%,14%,Fall 2020,"$5,905 ",-,146366,170100
Parkland College,"2400 W Bradley Ave, Champaign, Illinois 61821-1899",https://www.parkland.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Small,No,6018,6018,33%,26%,Fall 2020,"$8,179 ",-,147916,711800
University of Illinois Urbana-Champaign,"601 E John Street, Champaign, Illinois 61820-5711",www.illinois.edu/,"4-year, Public",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,56563,35564,85%,NA,Fall 2017,"$14,297 ",-,145637,177500
Eastern Illinois University,"600 Lincoln Avenue, Charleston, Illinois 61920",https://www.eiu.edu/,"4-year, Public",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate,Town: Remote,Yes,8804,6849,45%,32%,Fall 2017,"$14,621 ",-,144892,167400
Adler University,"17 North Dearborn Street, Chicago, Illinois 60602",https://www.adler.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,No,1674,9,NA,NA,Fall 2017,NA,-,142832,2068100
American Academy of Art College,"332 S Michigan Ave, Chicago, Illinois 60604-4302",https://www.aaart.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,90,90,45%,15%,Fall 2017,"$32,872 ",-,142887,162800
American Islamic College,"640 W Irving Park RD, Chicago, Illinois 60613",www.aicusa.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree,City: Large,No,14,6,NA,NA,Fall 2017,"$8,750 ",-,142957,
Aveda Institute-Chicago,"2828 N Clark St, Chicago, Illinois 60657",www.douglasj.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,99,99,100%,NA,2020-21,"$31,799 ","Cosmetology/Cosmetologist, General",455877,4141000
Aviation Institute of Maintenance-Chicago,"3711 South Ashland Avenue, Chicago, Illinois 60609-2130",https://aviationmaintenance.edu/campuses/chicago-il,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,221,221,NA,NA,Fall 2020,"$24,350 ",-,497745,4156401
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.","1407 East 60th Street, Chicago, Illinois 60637",www.bexleyseabury.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree,City: Large,No,76,,NA,NA,Fall 2017,NA,-,443702,3747300
Cannella School of Hair Design-Chicago,"4269 S Archer Ave, Chicago, Illinois 60632-2549",cannellaschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,60,60,53%,NA,2020-21,"$13,301 ","Cosmetology/Cosmetologist, General",143491,2349500
Cannella School of Hair Design-Chicago,"9012 S Commercial, Chicago, Illinois 60617-4303",cannellaschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,8,8,58%,NA,2020-21,"$11,880 ","Cosmetology/Cosmetologist, General",143482,
Catholic Theological Union at Chicago,"5416 S Cornell Ave, Chicago, Illinois 60615-5698",www.ctu.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree,City: Large,No,198,,NA,NA,Fall 2017,NA,-,143659,923200
Chicago State University,"9501 S. King Drive, Chicago, Illinois 60628-1598",www.csu.edu/,"4-year, Public",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,2324,1495,17%,40%,Fall 2017,"$9,852 ",-,144005,169400
Chicago Theological Seminary,"1407 E. 60th Street, Chicago, Illinois 60637",https://www.ctschicago.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,No,202,,NA,NA,Fall 2017,NA,-,144014,166100
City Colleges of Chicago-Harold Washington College,"30 E Lake St, Chicago, Illinois 60601-2449",www.ccc.edu/colleges/washington/Pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,5859,5859,29%,14%,Fall 2020,"$3,555 ",-,144209,165200
City Colleges of Chicago-Harry S Truman College,"1145 W Wilson Ave., Chicago, Illinois 60640-6063",www.ccc.edu/colleges/truman/Pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,6185,6185,31%,23%,Fall 2020,"$4,210 ",-,144184,164800
City Colleges of Chicago-Kennedy-King College,"6301 S Halsted St, Chicago, Illinois 60621-2709",www.ccc.edu/colleges/kennedy/pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,2780,2780,26%,15%,Fall 2020,"$5,088 ",-,144157,165400
City Colleges of Chicago-Malcolm X College,"1900 W Jackson Blvd, Chicago, Illinois 60612-3197",www.ccc.edu/colleges/malcolm-x/pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,8011,8011,14%,17%,Fall 2020,"$4,208 ",-,144166,165000
City Colleges of Chicago-Olive-Harvey College,"10001 S Woodlawn Ave, Chicago, Illinois 60628-1696",www.ccc.edu/colleges/olive-harvey/Pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,2747,2747,20%,20%,Fall 2020,"$5,917 ",-,144175,976700
City Colleges of Chicago-Richard J Daley College,"7500 S Pulaski Rd, Chicago, Illinois 60652-1299",ccc.edu/colleges/daley/pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,5836,5836,28%,19%,Fall 2020,"$4,097 ",-,144193,164900
City Colleges of Chicago-Wilbur Wright College,"4300 N Narragansett, Chicago, Illinois 60634-1500",ccc.edu/colleges/wright/pages/default.aspx,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,7789,7789,33%,13%,Fall 2020,"$3,771 ",-,144218,165500
Columbia College Chicago,"600 South Michigan Ave, Chicago, Illinois 60605-1996",www.colum.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Large,Yes,6529,6344,48%,31%,Fall 2017,"$29,790 ",-,144281,166500
DePaul University,"1 E Jackson Blvd, Chicago, Illinois 60604",https://www.depaul.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,21348,14374,70%,16%,Fall 2017,"$32,129 ",-,144740,167100
East-West University,"816 S Michigan Ave, Chicago, Illinois 60605",www.eastwest.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree,City: Large,No,528,528,23%,NA,Fall 2017,"$23,140 ",-,144883,2168600
Erikson Institute,"451 N. LaSalle Street, Chicago, Illinois 60654-4510",https://www.erikson.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree,City: Large,No,368,,NA,NA,Fall 2017,NA,-,409254,3510300
Generations College,"29 E. Madison, Chicago, Illinois 60602-4405",www.generations.edu/,"2-year, Private not-for-profit",Associate's degree,City: Large,No,317,317,6%,NA,Fall 2020,"$19,164 ",-,146816,171600
HVAC Technical Institute,"4532 South Kolin Avenue, Chicago, Illinois 60632-4457",www.hvac-tech.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,216,216,72%,NA,2020-21,"$23,216 ","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",486345,4232300
Illinois College of Optometry,"3241 S Michigan Ave, Chicago, Illinois 60616-3878",www.ico.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,City: Large,Yes,483,,NA,NA,Fall 2017,NA,-,145628,168900
Illinois Institute of Technology,"10 West 35th Street, Chicago, Illinois 60616",https://www.iit.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,8563,3316,72%,15%,Fall 2017,"$25,001 ",-,145725,169100
Illinois Media School,"8501 W. Higgins Rd. Suite 450, Chicago, Illinois 60631",beonair.com/locations/ohare-il-campus,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,36,36,67%,NA,2020-21,"$27,963 ",Radio and Television,419253,3101800
Illinois Media School-Chicago Campus,"105 W. Adams, Suite 1900, Chicago, Illinois 60602",www.beonair.com/chicago,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,48,48,61%,NA,2020-21,"$26,038 ",Radio and Television,460145,3101801
Institute for Clinical Social Work,"1345 W Argyle Street, Chicago, Illinois 60640-1229",www.icsw.edu/,"4-year, Private not-for-profit",Master's degree|Doctor's degree - research/scholarship,City: Large,No,120,,NA,NA,Fall 2017,NA,-,145886,2573700
Larry's Barber College,"10456 S. Halsted Street, Chicago, Illinois 60628-2322",www.larrysbarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,81,81,67%,NA,2020-21,"$11,692 ",Barbering/Barber,476489,4117600
Larry's Barber College,"701 E 79th St #709, Chicago, Illinois 60619-3101",https://www.larrysbarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,30,30,80%,NA,2020-21,"$16,813 ",Barbering/Barber,495387,4117604
