ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Charleston St,13288,11,11,In Service,41.920082,-87.677855,POINT (-87.677855 41.920082)
a3b11480-a135-11e9-9cda-0a87ae2ba916,Laramie Ave & Kinzie St,530,11,11,In Service,41.887832,-87.755527,POINT (-87.755527 41.887832)
a3ae82e0-a135-11e9-9cda-0a87ae2ba916,Warren Park West,RP-001,11,11,In Service,42.001785,-87.688829,POINT (-87.688829 42.001785)
1872721624592814362,Lockwood Ave & Wrightwood Ave,21312,15,15,In Service,41.927766,-87.758544,POINT (-87.758544 41.927766)
a3b3686c-a135-11e9-9cda-0a87ae2ba916,California Ave & Cortez St,17660,15,15,In Service,41.900363,-87.696704,POINT (-87.696704 41.900363)
a3b3820c-a135-11e9-9cda-0a87ae2ba916,LaSalle Dr & Huron St,KP1705001026,19,19,In Service,41.894877,-87.632326,POINT (-87.632326 41.894877)
1934289361049585738,California Ave & 36th St,21338,15,15,In Service,41.828098,-87.694684,POINT (-87.694684 41.828098)
1850866657089146912,Blackstone Ave & 59th St,22004,19,19,In Service,41.787877,-87.590461,POINT (-87.590461 41.787877)
a3ad5c90-a135-11e9-9cda-0a87ae2ba916,Dorchester Ave & 49th St,KA1503000069,15,15,In Service,41.805772,-87.592464,POINT (-87.592464 41.805772)
a3b2af02-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & 83rd St,586,11,11,In Service,41.743116,-87.6148,POINT (-87.6148 41.743116)
a3b443ce-a135-11e9-9cda-0a87ae2ba916,Archer (Damen) Ave & 37th St,18022,11,11,In Service,41.826712,-87.683144,POINT (-87.683144 41.826712)
a3a4f993-a135-11e9-9cda-0a87ae2ba916,Eckhart Park,13289,19,19,In Service,41.89637337,-87.66098386,POINT (-87.66098386 41.89637337)
a3b41f78-a135-11e9-9cda-0a87ae2ba916,Clinton St & Jackson Blvd,638,31,31,In Service,41.8783166118,-87.6409810781,POINT (-87.640981078148 41.878316611831)
1966306862968688728,Vincennes Ave & 79th St,24352,15,15,In Service,41.7506,-87.63409,POINT (-87.63409 41.7506)
1594046405283107528,California & 16th St,,9,9,In Service,41.859228,-87.695562,POINT (-87.695562 41.859228)
a3b48c07-a135-11e9-9cda-0a87ae2ba916,Leavitt St & Chicago Ave,18058,19,19,In Service,41.895501,-87.682017,POINT (-87.682017 41.895501)
a3acfa38-a135-11e9-9cda-0a87ae2ba916,Yates Blvd & 75th St,KA1503000024,11,11,In Service,41.758768,-87.56644,POINT (-87.56644 41.758768)
a3add889-a135-11e9-9cda-0a87ae2ba916,Central Park Ave & 24th St,15687,11,11,In Service,41.8481,-87.715068,POINT (-87.715068 41.8481)
a3a9a24f-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 15th St,13304,15,15,In Service,41.861267,-87.656625,POINT (-87.656625 41.861267)
1978857650118994914,Indiana Ave & 133rd St,24409,16,16,In Service,41.6538,-87.61719,POINT (-87.61719 41.6538)
a3af460f-a135-11e9-9cda-0a87ae2ba916,Clark St & Berwyn Ave,KA1504000146,19,19,In Service,41.9780306225,-87.6685649157,POINT (-87.668564915657 41.978030622487)
1879441011318372516,Scottsdale Park,23113,11,11,In Service,41.741966,-87.736179,POINT (-87.736179 41.741966)
a3a56075-a135-11e9-9cda-0a87ae2ba916,Desplaines St & Jackson Blvd,15539,27,27,In Service,41.8781189009,-87.6439476013,POINT (-87.643947601318 41.878118900912)
1969236968943731106,Menard Ave & Lawrence Ave,24369,16,16,In Service,41.96788,-87.77274,POINT (-87.77274 41.96788)
a3b20960-a135-11e9-9cda-0a87ae2ba916,Damen Ave & 51st St,554,7,7,In Service,41.800908,-87.674684,POINT (-87.674684 41.800908)
a3a84fb8-a135-11e9-9cda-0a87ae2ba916,Clark St & Montrose Ave,KA1503000022,19,19,In Service,41.961588,-87.666036,POINT (-87.666036 41.961588)
a3ae923d-a135-11e9-9cda-0a87ae2ba916,Clark St & Schreiber Ave,KA1504000156,15,15,In Service,41.999245,-87.671249,POINT (-87.671249 41.999245)
a3a9bbf0-a135-11e9-9cda-0a87ae2ba916,Halsted St & 35th St,TA1308000043,15,15,In Service,41.830661,-87.647172,POINT (-87.647172 41.830661)
a3b143aa-a135-11e9-9cda-0a87ae2ba916,Cicero Ave & Quincy St,16913,11,11,In Service,41.877613,-87.745405,POINT (-87.745405 41.877613)
1593766343243326364,Pulaski Rd & 60th St,,9,9,In Service,41.784186,-87.722564,POINT (-87.722564 41.784186)
a3a39d55-a135-11e9-9cda-0a87ae2ba916,South Shore Dr & 71st St,KA1503000002,15,15,In Service,41.7664094567,-87.5656875719,POINT (-87.5656875719 41.7664094567)
a3aa59bb-a135-11e9-9cda-0a87ae2ba916,Leavitt St & Armitage Ave,TA1309000029,11,11,In Service,41.917805,-87.682437,POINT (-87.682437 41.917805)
a3aaa17b-a135-11e9-9cda-0a87ae2ba916,Kimbark Ave & 53rd St,TA1309000037,19,19,In Service,41.7994549,-87.5947779,POINT (-87.5947779 41.7994549)
a3b39bb0-a135-11e9-9cda-0a87ae2ba916,Fairbanks St & Superior St,18003,11,11,In Service,41.895748,-87.620104,POINT (-87.620104 41.895748)
a3ae737f-a135-11e9-9cda-0a87ae2ba916,Glenwood Ave & Morse Ave,KA1504000175,15,15,In Service,42.0079719229,-87.6655023944,POINT (-87.6655023944 42.00797192287)
a3a86c05-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Irving Park Rd,13063,27,27,In Service,41.954245,-87.654406,POINT (-87.654406 41.954245)
a3a7aa0e-a135-11e9-9cda-0a87ae2ba916,Indiana Ave & 40th St,13083,11,11,In Service,41.82168,-87.6216,POINT (-87.6216 41.82168)
a3aabfe3-a135-11e9-9cda-0a87ae2ba916,Ellis Ave & 58th St,TA1309000011,19,19,In Service,41.788746,-87.601334,POINT (-87.601334 41.788746)
1936552997477483122,St Louis Ave & Norman Bobbins Pl,21385,15,15,In Service,41.79439,-87.71132,POINT (-87.71132 41.79439)
1882466626513795782,Keeler Ave & Carmen Ave,23110,15,15,In Service,41.974323,-87.7331,POINT (-87.7331 41.974323)
1869054242749504212,Kilbourn Ave & Roscoe St,21360,15,15,In Service,41.942722,-87.739557,POINT (-87.739557 41.942722)
a3af9a83-a135-11e9-9cda-0a87ae2ba916,Drake Ave & Montrose Ave,KA1504000097,15,15,In Service,41.9611540757,-87.7165690733,POINT (-87.7165690733 41.96115407569)
1436495109493626544,W Washington Blvd & N Peoria St,,9,9,In Service,41.883043,-87.649931,POINT (-87.649931 41.883043)
a3ad2843-a135-11e9-9cda-0a87ae2ba916,Lake Park Ave & 35th St,KA1503000004,19,19,In Service,41.8312742355,-87.6087991946,POINT (-87.6087991946 41.83127423549)
a3aa4a58-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Buena Ave,TA1309000027,19,19,In Service,41.958494,-87.654966,POINT (-87.654966 41.958494)
1942481603584237586,Sayre Ave & Diversey Ave,21352,15,15,In Service,41.93098,-87.80106,POINT (-87.80106 41.93098)
