Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Most Recent Date Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplaces (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Zoning Desc. (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data)
$532 ,"4713 N Western Ave, Chicago, IL 60625",https://zillow.com//apartments/chicago-il/canvas-at-leland-plaza/9zBq/,4713 N  Western Ave # 302,60625,Chicago,,IL,0,,,Studio ,,"Mon, 3/3/25",41.96713,-87.688545,,FOR_RENT,,,,"$532+ 0 bds, $1,272+ 1 bds, $1,528+ 2 bds",$532 ,"$1,528 ",,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$600 ,"6340 S Eberhart Ave #1, Chicago, IL 60637",https://www.zillow.com/homedetails/6340-S-Eberhart-Ave-1-Chicago-IL-60637/444116444_zpid/,6340 S Eberhart Ave #1,60637,Chicago,,IL,3,1,1000,3 bds | 1 ba | 1000 sqft,$0.60 ,"Mon, 3/3/25",41.779083,-87.613525,,FOR_RENT,APARTMENT,,,,,,,,,"Sat, 3/1/25","-1,200",$,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$639 ,"Ferdinand, 5412 W Ferdinand St, Chicago, IL 60644",https://www.zillow.com/apartments/chicago-il/ferdinand/CjrV6L/,5412 W Ferdinand St #573B2222C,60644,Chicago,,IL,0,1,400,Studio | 1 ba | 400 sqft,$1.60 ,"Mon, 3/3/25",41.889187,-87.761024,,FOR_RENT,APARTMENT,,,,,,,,,,,$,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$650 ,"6115 S Drexel Ave #1, Chicago, IL 60637",https://www.zillow.com/homedetails/6115-S-Drexel-Ave-1-Chicago-IL-60637/441850790_zpid/,6115 S Drexel Ave #1,60637,Chicago,,IL,1,1,,1 bds | 1 ba ,,"Mon, 3/3/25",41.783596,-87.60392,,FOR_RENT,APARTMENT,,,,,,,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$650 ,"158 N Central Ave, Chicago, IL 60644",https://www.zillow.com/homedetails/158-N-Central-Ave-Chicago-IL-60644/2087806893_zpid/,158 N Central Ave,60644,Chicago,,IL,0,1,,Studio | 1 ba ,,"Mon, 3/3/25",41.883904,-87.765465,,FOR_RENT,APARTMENT,,,,,,"$1,413 ",,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$662 ,"4040 N Sheridan Rd, Chicago, IL 60613",https://zillow.com//apartments/chicago-il/ruth-shriman-house/5Xf9pv/,4040 N  Sheridan Rd # 0B-1Ba,60613,Chicago,,IL,0,,,Studio ,,"Mon, 3/3/25",41.955853,-87.65495,,FOR_RENT,,,,"$662+ 0 bds, $685+ 1 bds",$662 ,$685 ,,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$695 ,"10 S Mason Ave, 10 S Mason Ave, Chicago, IL 60644",https://www.zillow.com/apartments/chicago-il/10-s-mason-ave/BZ4n/,10 S Mason Ave #C253AFE41,60644,Chicago,,IL,0,1,300,Studio | 1 ba | 300 sqft,$2.32 ,"Mon, 3/3/25",41.879616,-87.77339,,FOR_RENT,APARTMENT,,,,,,,,,,,$,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$699 ,"5540 S Hyde Park Blvd, Chicago, IL 60637",https://zillow.com//apartments/chicago-il/5540-hyde-park-by-3l-living/CSkv/,5540 S  Hyde Park Blvd # 233,60637,Chicago,,IL,0,,,Studio ,,"Mon, 3/3/25",41.794537,-87.584114,,FOR_RENT,,,,$699+ 0 bds,$699 ,$699 ,,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$699 ,"5748 S Blackstone Ave, Chicago, IL 60637",https://zillow.com//apartments/chicago-il/5748-blackstone-by-3l-living/ChWJ8w/,5748 S  Blackstone Ave # 403B,60637,Chicago,,IL,0,,,Studio ,,"Mon, 3/3/25",41.7901,-87.59054,,FOR_RENT,,,,$699+ 0 bds,$699 ,$699 ,,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$700 ,"6115 S Drexel Ave, Chicago, IL 60637",https://zillow.com//b/6115-s-drexel-ave-chicago-il-9S3yrJ/,6115 S  Drexel Ave Unit 7,60637,Chicago,,IL,1,,,1 bds ,,"Mon, 3/3/25",41.783604,-87.60393,,FOR_RENT,,,,$700+ 1 bds,$700 ,$700 ,,,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
